year,make,model,variant,body_type,no_of_seats,build_date,compliance_date,vin,rego_no,rego_state,rego_expiry,no_of_plates,no_of_cylinders,engine_capacity,fuel_type,transmission,odometer_reading,odometer_unit,exterior_colour,interior_colour,key,spare_key,owners_manual,service_history,engine_turns_over,location,url,general_condition,features_list,final_price,final_bids,date_sold,status,bids,price,time_remaining_or_date_sold
2013,Toyota,Hilux,Workmate (4x4) KUN26R Turbo Diesel Manual Cab Chassis,Cab Chassis,2.0,2013-06,2013-07,MR0DZ22G600025418,ZXL241,VIC,"Sold Unregistered, Without Plates",2.0,4.0,3.0,Diesel,Manual,323880,km,White,Grey,Yes,Yes,Yes,Yes,Yes,VIC,https://www.grays.com/lot/0001-21051047/motor-vehicles-motor-cycles/2013-toyota-hilux-workmate-4x4-kun26r-turbo-diesel-manual-cab-chassis,"Dents or marks on body consistent with age and kilometres.
Medium Scuff on Front bumper
Paint peeling Above front right wheel
Flat Battery. Jump start or towing required
Front Seat worn drivers","Bluetooth Capability, CD Player, Driver Airbag, MP3 Capability, Power Steering, Location: 140-152 National Drive, Dandenong South, VIC, 3175, Key No: 222A (350137)",,,,sold,62.0,"$6,650",2025-06-26
2017,Mercedes,Benz,VALENTE Turbo Diesel Automatic 8 Seats People Mover,People Mover,8.0,Unable to locate,2017-08,WDF44770323333854,1LA4VE,VIC,24-08-2025 - Registration will only be transferred to the registered bidder who must hold a valid VIC Drivers Licence otherwise vehicle will be sold unregistered.,2.0,4.0,2.1,Diesel,Automatic,232835,km,Black,Black,Yes,Yes,Yes,Yes,Yes,VIC,https://www.grays.com/lot/0001-21051048/motor-vehicles-motor-cycles/2017-mercedes-benz-valente-turbo-diesel-automatic-8-seats-people-mover,"Dents or marks on body consistent with age and kilometres.
Seat Torn Drivers seat covered with tape
Windscreen Chipped or Cracked.","Air Conditioning, Bluetooth Capability, Central Locking, Climate Control, Cruise Control, Driver Airbag, Electric Windows, Hill Holder System, MP3 Capability, Power Steering, Third Row Seat, Location: 140-152 National Drive, Dandenong South, VIC, 3175, Key No: 322 (350128)",,,,sold,92.0,"$14,200",2025-06-26
2011,ABARTH,500,Esseesse Convertible Automatic Hatchback,Hatchback,4.0,2011-06,2012-02,ZFA31200000728974,ZSY498,VIC,15-09-2025 - Registration will only be transferred to the registered bidder who must hold a valid VIC Drivers Licence otherwise vehicle will be sold unregistered.,2.0,4.0,1.4,Petrol,Automatic,59160,km,White,Black,Yes,No,Yes,Yes,Yes,VIC,https://www.grays.com/lot/0001-21051049/motor-vehicles-motor-cycles/2011-abarth-500-esseesse-convertible-automatic-hatchback,"Dents or marks on body consistent with age and kilometres.
Dents or marks on body consistent with age and kilometres.","Air Conditioning, Bluetooth Capability, CD Player, Climate Control, Driver Airbag, Electric Windows, Hill Holder System, Park Distance Control Rear, Power Steering, Location: 140-152 National Drive, Dandenong South, VIC, 3175, Key No: 150 (350266)",,,,sold,30.0,"$10,000",2025-06-26
2015,NISSAN,X-TRAIL,ST-L FWD T32 CVT Wagon,Wagon,5.0,2015-04,2015-05,JN1TBAT32A0006575,1EQ5TD,VIC,27-05-2025 - Registration will only be transferred to the registered bidder who must hold a valid VIC Drivers Licence otherwise vehicle will be sold unregistered.,2.0,4.0,2.5,Petrol,CVT,198315,km,White,Black Leather,Yes,Yes,Yes,Yes,Yes,VIC,https://www.grays.com/lot/0001-21051050/motor-vehicles-motor-cycles/2015-nissan-x-trail-st-l-fwd-t32-cvt-wagon,"Dents or marks on body consistent with age and kilometres.
Dents or marks on body consistent with age and kilometres.","Air Conditioning, Bluetooth Capability, CD Player, Central Locking, Climate Control, Driver Airbag, Electric Windows, Heated Front Seats, Hill Holder System, Leather Trim, MP3 Capability, Power Steering, Reversing Camera, Roof Rail, Crash Test Star Rating 5, Location: 140-152 National Drive, Dandenong South, VIC, 3175, Key No: 304 (350272)",,,,sold,74.0,"$7,200",2025-06-26
2008,Mercedes,Benz,R320CDI L W251 Turbo Diesel Auto (WOVR - Repairable),Wagon,6.0,2007-06,2008-01,WDC2511222A061801,No Plates,VIC,"Sold Unregistered, Without Plates",0.0,6.0,3.0,Diesel,Automatic,165466,km,Black,Black Leather,Yes,No,Yes,No,Yes,VIC,https://www.grays.com/lot/0001-21051051/motor-vehicles-motor-cycles/2008-mercedes-benz-r320cdi-l-w251-turbo-diesel-auto-wovr-repairable,"Paint fading Roof
Dents or marks on body consistent with age and kilometres.
Flat Battery. Jump start or towing required
Battery warning light on.
Glow Plug warning light on.
Vehicle won`t select Reverse.
Tint lifting. LH","Air Conditioning, CD Player, Central Locking, Climate Control, Cruise Control, Driver Airbag, Electric Windows, 1000, Leather Trim, Park Distance Control Front, Park Distance Control Rear, Power Steering, Roof Rail, Sunroof, Third Row Seat, Location: 140-152 National Drive, Dandenong South, VIC, 3175, Key No: 1170 (346688)",,,,sold,24.0,"$1,109",2025-06-26
2009,Toyota,Hiace,SLWB TRH221R Automatic Van,Van,3.0,2009-06,2009-07,JTFPX22P200017227,No plates,,"Sold Unregistered, Without Plates",0.0,4.0,2.7,Petrol,Automatic,293656,km,White,Grey,Yes,No,No,No,Yes,VIC,https://www.grays.com/lot/0001-21051052/motor-vehicles-motor-cycles/2009-toyota-hiace-slwb-trh221r-automatic-van,"Front Seat worn Drivers
Dents or marks on body consistent with age and kilometres.
Medium Dent on Front bumper right side
Medium Scratch on Various along panel
Medium Scuff on Front bar
Large Dent on Boot of vehicle
Medium Scuff on Various along panel","Air Conditioning, CD Player, Central Locking, Driver Airbag, Electric Windows, Nudge Bar, Power Steering, Crash Test Star Rating 3, Location: 140-152 National Drive, Dandenong South, VIC, 3175, Key No: 421 (349106)",,,,sold,61.0,"$4,750",2025-06-26
2010,Toyota,Corolla,Ascent ZRE152R Automatic Hatchback,Hatchback,5.0,2010-08,2010-09,JTNKU58E201139000,YDU887,VIC,07-07-2025 - Registration will only be transferred to the registered bidder who must hold a valid VIC Drivers Licence otherwise vehicle will be sold unregistered.,2.0,4.0,1.8,Petrol,Automatic,271448,km,Black,Black,Yes,No,Yes,Yes,Yes,VIC,https://www.grays.com/lot/0001-21051054/motor-vehicles-motor-cycles/2010-toyota-corolla-ascent-zre152r-automatic-hatchback,"Paint cracked Rear bar
Paint fading Roof spoiler
Dents or marks on body consistent with age and kilometres.
Windscreen Chipped or Cracked.","Air Conditioning, Bluetooth Capability, CD Player, Central Locking, Driver Airbag, Electric Windows, MP3 Capability, Park Distance Control Rear, Power Steering, Crash Test Star Rating 4, Location: 140-152 National Drive, Dandenong South, VIC, 3175, Key No: 529 (348760)",,,,sold,49.0,"$3,909",2025-06-26
2006,Mazda,3,SP23 BK Manual Sedan,Sedan,5.0,2006-02,2006-03,JM0BK103100197157,1XV1HC,VIC,18-08-2025 - Registration will only be transferred to the registered bidder who must hold a valid VIC Drivers Licence otherwise vehicle will be sold unregistered.,2.0,4.0,2.3,Petrol,Manual,207570,km,Blue,Black,Yes,Yes,Yes,Yes,Yes,VIC,https://www.grays.com/lot/0001-21051055/motor-vehicles-motor-cycles/2006-mazda-3-sp23-bk-manual-sedan,"Paint peeling Around the car
Dents or marks on body consistent with age and kilometres.
Medium Scuff on Drivers side","Air Conditioning, CD Player, Central Locking, Climate Control, Driver Airbag, Electric Windows, Power Steering, Crash Test Star Rating 4, Location: 140-152 National Drive, Dandenong South, VIC, 3175, Key No: 1045 (349229)",,,,sold,9.0,$809,2025-06-26
2006,Volvo,S40,2.4 S Automatic Sedan,Sedan,5.0,2006-10,2007-02,YV1MS385972282018,USB263,VIC,29-06-2025 - Registration will only be transferred to the registered bidder who must hold a valid VIC Drivers Licence otherwise vehicle will be sold unregistered.,2.0,5.0,2.4,Petrol,Automatic,191890,km,Silver,Black Leather,Yes,Yes,Yes,Yes,Yes,VIC,https://www.grays.com/lot/0001-21051056/motor-vehicles-motor-cycles/2006-volvo-s40-2-4-s-automatic-sedan,Please refer to the photos or arrange inspection to view the condition of this vehicle.,"Air Conditioning, CD Player, Central Locking, Climate Control, Cruise Control, Driver Airbag, Electric Windows, Power Steering, Crash Test Star Rating 5, Location: 140-152 National Drive, Dandenong South, VIC, 3175, Key No: 279 (348781)",,,,sold,7.0,$609,2025-06-26
2011,Holden,Sportwagon,SV6 VE Automatic Wagon,Wagon,5.0,2011-02,2011-02,6G1EK8EV0BL527391,YFC239,VIC,30-06-2025 - Registration will only be transferred to the registered bidder who must hold a valid VIC Drivers Licence otherwise vehicle will be sold unregistered.,2.0,6.0,3.6,Petrol,Automatic,287519,km,White,Black,Yes,Yes,Yes,Yes,Yes,VIC,https://www.grays.com/lot/0001-21051058/motor-vehicles-motor-cycles/2011-holden-sportwagon-sv6-ve-automatic-wagon,"Dents or marks on body consistent with age and kilometres.
Medium Scratch on around the car","Air Conditioning, Bluetooth Capability, CD Player, Central Locking, Cruise Control, Driver Airbag, Electric Windows, Park Distance Control Rear, Power Steering, Crash Test Star Rating 5, Location: 140-152 National Drive, Dandenong South, VIC, 3175, Key No: 1121 (349209)",,,,sold,41.0,"$2,400",2025-06-26
