year,make,model,variant,body_type,no_of_seats,build_date,compliance_date,vin,rego_no,rego_state,rego_expiry,no_of_plates,no_of_cylinders,engine_capacity,fuel_type,transmission,odometer_reading,odometer_unit,exterior_colour,interior_colour,key,spare_key,owners_manual,service_history,engine_turns_over,location,url,general_condition,features_list,final_price,final_bids,date_sold,status,bids,price,time_remaining_or_date_sold
2015,Hyundai,Sonata,Active LF Automatic Sedan,Sedan,5.0,2015-06,2016-02,KMHE241FMFA153366,1GU1EQ,VIC,03-06-2025 - Registration will only be transferred to the registered bidder who must hold a valid VIC Drivers Licence otherwise vehicle will be sold unregistered.,2.0,4.0,2.4,Petrol,Automatic,405266,km,Silver,Black,Yes,Yes,Yes,Yes,Yes,VIC,https://www.grays.com/lot/0001-21050139/motor-vehicles-motor-cycles/2015-hyundai-sonata-active-lf-automatic-sedan,"Engine noise observed.
Unknown mechanical issues - requires inspection.
Scratches on front and rear bumper.
Dents or marks on body consistent with age and kilometres.
Front Cracked bumper.","Air Conditioning, Bluetooth Capability, CD Player, Central Locking, Cruise Control, Driver Airbag, Electric Windows, Hill Holder System, MP3 Capability, Park Distance Control Rear, Power Steering, Reversing Camera, Crash Test Star Rating 5, Location: 140-152 National Drive, Dandenong South, VIC, 3175, Key No: 299 (348641)",,,,sold,20.0,"$1,110",2025-06-26
2012,Jeep,Grand,Cherokee SRT-8 VAPOR LE WK Auto Wagon (RWC Issued 5-6-25),Wagon,5.0,2012-11,2013-01,1C4RJFHJ4DC589580,2BY4PX,,20-08-2025 - Registration will only be transferred to the registered bidder who must hold a valid VIC Licence otherwise vehicle will be sold unregistered.,0.0,8.0,6.4,Petrol,Automatic,203372,km,Black,Black Leather,Yes,Yes,Yes,Yes,Yes,VIC,https://www.grays.com/lot/0001-21050615/motor-vehicles-motor-cycles/2012-jeep-grand-cherokee-srt-8-vapor-le-wk-auto-wagon-rwc-issued-5-6-25,"Front Seat worn Drivers seat
Medium Scratch on RHF door","Air Conditioning, Auto Control, Bluetooth Capability, CD Player, Central Locking, Climate Control, Cruise Control, Driver Airbag, Electric Windows, Heated Front Seats, Hill Holder System, Leather Trim, MP3 Capability, Park Distance Control Front, Park Distance Control Rear, Power Steering, Reversing Camera, Roof Rails, Satellite Navigation, Sunroof, Location: 140-152 National Drive, Dandenong South, VIC, 3175, Key No: 71 (349322)",,,,sold,89.0,"$21,101",2025-06-26
2008,Holden,Astra,Twintop AH Automatic Convertible,Convertible,4.0,2008-05,2008-07,W0L0AHL6785129582,No plates,QLD,"Sold Unregistered, Without Plates",0.0,4.0,2.2,Petrol,Automatic,149230,km,Red,Black,Yes,No,No,No,Yes,VIC,https://www.grays.com/lot/0001-21050715/motor-vehicles-motor-cycles/2008-holden-astra-twintop-ah-automatic-convertible,Dents or marks on body consistent with age and kilometres.,"Air Conditioning, CD Player, Central Locking, Cruise Control, Driver Airbag, Electric Windows, Heated Front Seats, Leather Trim, Power Steering, Location: 140-152 National Drive, Dandenong South, VIC, 3175, Key No: 692 (349556)",,,,sold,20.0,"$1,509",2025-06-26
2013,Subaru,Forester,2.0D S4 Turbo Diesel Manual Wagon,Wagon,5.0,2013-09,2014-02,JF2SJDKZ3DG016469,No plates,VIC,"Sold Unregistered, Without Plates",0.0,4.0,2.0,Diesel,Manual,307611,km,Grey,Black,Yes,Yes,Yes,Yes,Yes,VIC,https://www.grays.com/lot/0001-21050738/motor-vehicles-motor-cycles/2013-subaru-forester-2-0d-s4-turbo-diesel-manual-wagon,Dents or marks on body consistent with age and kilometres.,"Air Conditioning, Bluetooth Capability, CD Player, Central Locking, Climate Control, Cruise Control, Driver Airbag, Electric Windows, Hill Holder System, MP3 Capability, Power Steering, Reversing Camera, Roof Rail, Crash Test Star Rating 5, Location: 140-152 National Drive, Dandenong South, VIC, 3175, Key No: 771 (349601)",,,,sold,21.0,"$1,809",2025-06-26
2018,Toyota,Corolla,Ascent Sport MZEA12R CVT WOVR-REPAIRABLE,Hatchback,5.0,2018-07,2018-07,JTNK43BE503006099,No plates,VIC,"Sold Unregistered, Without Plates",0.0,4.0,2.0,Petrol,CVT,51769,km,White,Black,Yes,No,No,No,Yes,VIC,https://www.grays.com/lot/0001-21050803/motor-vehicles-motor-cycles/2018-toyota-corolla-ascent-sport-mzea12r-cvt-wovr-repairable,Dents or marks on body consistent with age and kilometres.,"Air Conditioning, Bluetooth Capability, Central Locking, Cruise Control, Driver Airbag, Electric Windows, Hill Holder System, MP3 Capability, Power Steering, Reversing Camera, Satellite Navigation System, Crash Test Star Rating 5, Location: 140-152 National Drive, Dandenong South, VIC, 3175, Key No: 298 (346701)",,,,sold,64.0,"$9,500",2025-06-26
1991,Volkswagen,Caravelle,Automatic 7 Seats VAN,,7.0,1991-09,1992-02,WV2ZZZ25ZMG017716,No plates,VIC,"Sold Unregistered, Without Plates",0.0,4.0,2.1,Petrol,Automatic,339981,km,White,Grey,Yes,No,No,No,Yes,VIC,https://www.grays.com/lot/0001-21050839/motor-vehicles-motor-cycles/1991-volkswagen-caravelle-automatic-7-seats-van,"Dents or marks on body consistent with age and kilometres.
Medium Scuff on Various parts panel
Seats Removed
Overheating
Leaking head gasket","Location: 140-152 National Drive, Dandenong South, VIC, 3175, Key No: 1034 (349600)",,,,sold,16.0,"$1,509",2025-06-26
2013,Holden,Colorado,4X2 LT RG Turbo Diesel Manual Dual Cab,Dual Cab Chassis,5.0,2013-06,2013-10,MMU148EH0DH800201,1BK2EZ,VIC,"Sold Unregistered, Without Plates",0.0,4.0,2.8,Diesel,Manual,257623,km,White,Grey,Yes,No,No,Yes,Yes,VIC,https://www.grays.com/lot/0001-21050866/motor-vehicles-motor-cycles/2013-holden-colorado-4x2-lt-rg-turbo-diesel-manual-dual-cab,"Dents or marks on body consistent with age and kilometres.
Medium Scuff on Various","Air Conditioning, Bluetooth Capability, CD Player, Central Locking, Cruise Control, Driver Airbag, Electric Windows, MP3 Capability, Power Steering, Crash Test Star Rating 5, Location: 140-152 National Drive, Dandenong South, VIC, 3175, Key No: 1079",,,,sold,42.0,"$5,900",2025-06-26
2012,Ford,Territory,TX (RWD) SZ Turbo Diesel Automatic Wagon,Wagon,5.0,2012-06,2012-06,6FPAAAJGATCK80541,1NS1YF,VIC,10-08-2025 - Registration will only be transferred to the registered bidder who must hold a valid VIC Drivers Licence otherwise vehicle will be sold unregistered.,2.0,6.0,2.7,Diesel,Automatic,225824,km,Black,Black,Yes,Yes,Yes,Yes,Yes,VIC,https://www.grays.com/lot/0001-21050867/motor-vehicles-motor-cycles/2012-ford-territory-tx-rwd-sz-turbo-diesel-automatic-wagon,"Hood Lining Sagging
Dents or marks on body consistent with age and kilometres.
Medium Scratch on Around the car
Large Scuff on Front bumper","Air Conditioning, Bluetooth Capability, CD Player, Central Locking, Climate Control, Cruise Control, Driver Airbag, Electric Windows, MP3 Capability, Park Distance Control Rear, Power Steering, Roof Rail, Crash Test Star Rating 5, Location: 140-152 National Drive, Dandenong South, VIC, 3175, Key No: 952 (349557)",,,,sold,44.0,"$3,209",2025-06-26
2018,Nissan,Pathfinder,ST R52 CVT 7 Seats Wagon (Complied 2019),Wagon,7.0,2018-10,2019-01,5N1DR2MN3KC589549,1XL4BO,VIC,22-06-2025 - Registration will only be transferred to the registered bidder who must hold a valid VIC Drivers Licence otherwise vehicle will be sold unregistered.,2.0,6.0,3.5,Petrol,CVT,127245,km,White,Black,Yes,No,No,Yes,Yes,VIC,https://www.grays.com/lot/0001-21050868/motor-vehicles-motor-cycles/2018-nissan-pathfinder-st-r52-cvt-7-seats-wagon-complied-2019,Dents or marks on body consistent with age and kilometres.,"Air Conditioning, Bluetooth Capability, CD Player, Central Locking, Climate Control, Cruise Control, Driver Airbag, Electric Windows, Hill Holder System, MP3 Capability, Park Distance Control Rear, Power Steering, Reversing Camera, Roof Rail, Third Row Seat, Crash Test Star Rating 5, Location: 140-152 National Drive, Dandenong South, VIC, 3175, Key No: 1015 (349703)",,,,sold,146.0,"$12,450",2025-06-26
2013,Toyota,Rav,4 AWD Cruiser ASA44R Automatic Wagon,Wagon,5.0,2013-06,2013-06,JTMDFREV20D023765,ZWT275,VIC,15-07-2025 - Registration will only be transferred to the registered bidder who must hold a valid VIC Drivers Licence otherwise vehicle will be sold unregistered.,2.0,4.0,2.5,Petrol,Automatic,153601,km,Black,Black,Yes,Yes,Yes,Yes,Yes,VIC,https://www.grays.com/lot/0001-21050869/motor-vehicles-motor-cycles/2013-toyota-rav-4-awd-cruiser-asa44r-automatic-wagon,"Dents or marks on body consistent with age and kilometres.
Medium Scratch on Various along panel.","Air Conditioning, Auto Control, Bluetooth Capability, CD Player, Central Locking, Climate Control, Cruise Control, Driver Airbag, Electric Windows, Heated Front Seats, Hill Holder System, Leather Trim, MP3 Capability, Park Distance Control Rear, Power Steering, Reversing Camera, Roof Rail, Sunroof, Crash Test Star Rating 5, Location: 140-152 National Drive, Dandenong South, VIC, 3175, Key No: 41 (349631)",,,,sold,175.0,"$13,000",2025-06-26
2007,Toyota,Aurion,Prodigy GSV40R Automatic Sedan,Sedan,5.0,2007-09,2007-09,6T153KK400X293444,UZV699,VIC,28-09-2025 - Registration will only be transferred to the registered bidder who must hold a valid VIC Drivers Licence otherwise vehicle will be sold unregistered.,2.0,6.0,3.5,Petrol,Automatic,180408,km,Silver,Tan Leather,Yes,No,Yes,Yes,Yes,VIC,https://www.grays.com/lot/0001-21050870/motor-vehicles-motor-cycles/2007-toyota-aurion-prodigy-gsv40r-automatic-sedan,"Door Mirror Broken Left mirror
Dents or marks on body consistent with age and kilometres.
Medium Scratch on Along panel
Paint peeling Above front left wheel","Air Conditioning, CD Player, Central Locking, Climate Control, Cruise Control, Driver Airbag, Electric Windows, Leather Trim, MP3 Capability, Park Distance Control Front, Park Distance Control Rear, Power Steering, Roof Rail, Crash Test Star Rating 4, Location: 140-152 National Drive, Dandenong South, VIC, 3175, Key No: 206 (349905)",,,,sold,48.0,"$3,509",2025-06-26
2005,Toyota,Camry,Altise ACV36R Automatic Sedan,Sedan,5.0,2005-12,2005-12,6T153BK360X099181,TXV612,VIC,"Sold Unregistered, Without Plates",,4.0,2.4,Petrol,Automatic,294778,km,Silver,Grey,Yes,Yes,Yes,Yes,Yes,VIC,https://www.grays.com/lot/0001-21050878/motor-vehicles-motor-cycles/2005-toyota-camry-altise-acv36r-automatic-sedan,Dents or marks on body consistent with age and kilometres.,"Air Conditioning, CD Player, Central Locking, Cruise Control, Driver Airbag, Electric Windows, Power Steering, Crash Test Star Rating 4, Location: 140-152 National Drive, Dandenong South, VIC, 3175, Key No: 399A (349901)",,,,sold,38.0,"$2,209",2025-06-26
2014,Alfa,Romeo,Giulietta Progression SERIES I Manual Hatchback,Hatchback,5.0,2014-10,2015-01,ZAR94000007363810,1DA5TZ,VIC,23-07-2025,2.0,4.0,1.4,Petrol,Manual,112319,km,Red,Black,Yes,No,No,No,Yes,VIC,https://www.grays.com/lot/0001-21050879/motor-vehicles-motor-cycles/2014-alfa-romeo-giulietta-progression-series-i-manual-hatchback,Dents or marks on body consistent with age and kilometres.,"Air Conditioning, Bluetooth Capability, CD Player, Central Locking, Cruise Control, Driver Airbag, Electric Windows, Hill Holder System, MP3 Capability, Park Distance Control Rear, Power Steering, Crash Test Star Rating 5, Location: 140-152 National Drive, Dandenong South, VIC, 3175, Key No: 495 (349960)",,,,sold,43.0,"$2,909",2025-06-26
2013,Holden,Captiva,7 LTZ AWD CG II Automatic Wagon,Wagon,5.0,2013-12,2014-03,KL3CD2659EB005367,1CL8AY,VIC,"Sold Unregistered, Without Plates",,6.0,3.0,Petrol,Automatic,168902,km,White,Black Leather,Yes,No,Yes,Yes,Yes,VIC,https://www.grays.com/lot/0001-21050880/motor-vehicles-motor-cycles/2013-holden-captiva-7-ltz-awd-cg-ii-automatic-wagon,Dents or marks on body consistent with age and kilometres.,"Air Conditioning, Auto Control, Bluetooth Capability, CD Player, Central Locking, Climate Control, Cruise Control, Driver Airbag, Electric Windows, Heated Front Seats, Hill Holder System, Leather Trim, MP3 Capability, Park Distance Control Front, Park Distance Control Rear, Power Steering, Reversing Camera, Sunroof, Third Row Seat, Location: 140-152 National Drive, Dandenong South, VIC, 3175, Key No: 737 (349961)",,,,sold,58.0,"$3,750",2025-06-26
2011,Toyota,Camry,Altise ASV50R Automatic Sedan,Sedan,5.0,2011-12,2011-12,6T1BF3FK90X004069,No plates,VIC,"Sold Unregistered, Without Plates",0.0,4.0,2.5,Petrol,Automatic,181210,km,Black,Black,Yes,No,No,No,Yes,VIC,https://www.grays.com/lot/0001-21050893/motor-vehicles-motor-cycles/2011-toyota-camry-altise-asv50r-automatic-sedan,"Dents or marks on body consistent with age and kilometres.
Medium Scratch on Various parts of panel","Air Conditioning, Bluetooth Capability, CD Player, Central Locking, Cruise Control, Driver Airbag, Electric Windows, MP3 Capability, Power Steering, Crash Test Star Rating 5, Location: 140-152 National Drive, Dandenong South, VIC, 3175, Key No: 959 (349993)",,,,sold,85.0,"$6,109",2025-06-26
2013,Nissan,Pulsar,ST C12 CVT Hatchback,Hatchback,5.0,2013-11,2014-01,MNTFAAC12A0005191,1BH7YI,VIC,15-07-2025 - Registration will only be transferred to the registered bidder who must hold a valid VIC Drivers Licence otherwise vehicle will be sold unregistered.,2.0,4.0,1.8,Petrol,CVT,87061,km,Gold,Black,Yes,Yes,No,Yes,Yes,VIC,https://www.grays.com/lot/0001-21050894/motor-vehicles-motor-cycles/2013-nissan-pulsar-st-c12-cvt-hatchback,"Dents or marks on body consistent with age and kilometres.
Medium Scuff on rear passenger side, rear bumper and dent","Air Conditioning, Bluetooth Capability, CD Player, Central Locking, Cruise Control, Driver Airbag, Electric Windows, MP3 Capability, Power Steering, Crash Test Star Rating 5, Location: 140-152 National Drive, Dandenong South, VIC, 3175, Key No: 1101 (349991)",,,,sold,4.0,"$5,700",2025-06-26
2010,Hyundai,Getz,S TB Automatic Hatchback,Hatchback,5.0,2010-01,2010-02,KMHBT51DMAU966424,XRH063,VIC,"Sold Unregistered, Without Plates",,4.0,1.4,Petrol,Automatic,199266,km,Green,Black,Yes,Yes,Yes,Yes,Yes,VIC,https://www.grays.com/lot/0001-21050934/motor-vehicles-motor-cycles/2010-hyundai-getz-s-tb-automatic-hatchback,"Dents or marks on body consistent with age and kilometres.
Paint peeling along various panels.
Paint fading along panel.
Engine Oil Leak
Engine noise observed.","Air Conditioning, Bluetooth Capability, CD Player, Central Locking, Driver Airbag, Electric Windows, MP3 Capability, Park Distance Control Rear, Power Steering, Location: 140-152 National Drive, Dandenong South, VIC, 3175, Key No: 450 (350014)",,,,sold,22.0,"$2,109",2025-06-26
2011,Ford,Territory,TS (4x4) SZ Turbo Diesel Automatic 7 Seats Wagon,Wagon,7.0,2011-06,2011-06,6FPAAAJGATBY41047,YMT422,VIC,29-11-2025 - Registration will only be transferred to the registered bidder who must hold a valid VIC Drivers Licence otherwise vehicle will be sold unregistered.,2.0,6.0,2.7,Diesel,Automatic,181500,km,White,Black,Yes,No,Yes,No,Yes,VIC,https://www.grays.com/lot/0001-21050936/motor-vehicles-motor-cycles/2011-ford-territory-ts-4x4-sz-turbo-diesel-automatic-7-seats-wagon,"Dents or marks on body consistent with age and kilometres.
Medium Scuff on Front bumper","Air Conditioning, Bluetooth Capability, CD Player, Central Locking, Climate Control, Cruise Control, Driver Airbag, Electric Windows, MP3 Capability, Park Distance Control Rear, Power Steering, Reversing Camera, Roof Rail, Third Row Seat, Crash Test Star Rating 5, Location: 140-152 National Drive, Dandenong South, VIC, 3175, Key No: 1070 (350021)",,,,sold,49.0,"$3,900",2025-06-26
2006,Lexus,IS250,Prestige Automatic Sedan,Sedan,5.0,2006-09,2006-10,JTHBK262302025291,No plates,VIC,"Sold Unregistered, Without Plates",0.0,6.0,2.5,Petrol,Automatic,179319,km,Silver,Black Leather,Yes,Yes,Yes,Yes,Yes,VIC,https://www.grays.com/lot/0001-21050943/motor-vehicles-motor-cycles/2006-lexus-is250-prestige-automatic-sedan,"Dents or marks on body consistent with age and kilometres.
Front Seat Scratches Drivers
Door card Damaged.","Air Conditioning, CD Player, Central Locking, Climate Control, Cruise Control, Driver Airbag, Electric Windows, Hill Holder System, Leather Trim, MP3 Capability, Park Distance Control Rear, Power Steering, Roof Rail, Crash Test Star Rating 5, Location: 140-152 National Drive, Dandenong South, VIC, 3175, Key No: 515 (350023)",,,,sold,63.0,"$4,850",2025-06-26
2004,Toyota,Rav,4 Cruiser (4x4) ACA23R Automatic Wagon,Wagon,5.0,2004-06,2004-07,JTEHD20V700031286,SZF096,VIC,16-07-2025 - Registration will only be transferred to the registered bidder who must hold a valid VIC Drivers Licence otherwise vehicle will be sold unregistered.,2.0,4.0,2.4,Petrol,Automatic,259355,km,Black,Grey,Yes,No,Yes,Yes,Yes,VIC,https://www.grays.com/lot/0001-21050945/motor-vehicles-motor-cycles/2004-toyota-rav-4-cruiser-4x4-aca23r-automatic-wagon,"Dents or marks on body consistent with age and kilometres.
Medium Scuff on Various along panel
Transmission Requires attention Strongly recommend inspection by qualified third party","Air Conditioning, CD Player, Central Locking, Cruise Control, Driver Airbag, Electric Windows, MP3 Capability, Nudge Bar, Power Steering, Roof Rail, Sunroof, Crash Test Star Rating 4, Location: 140-152 National Drive, Dandenong South, VIC, 3175, Key No: 645 (349578)",,,,sold,31.0,"$2,009",2025-06-26
2012,Mazda,3,Neo BL Manual Sedan,Sedan,5.0,2012-11,2012-12,JM0BL10F200374499,1NF9SG,VIC,15-06-2025 - Registration will only be transferred to the registered bidder who must hold a valid VIC Drivers Licence otherwise vehicle will be sold unregistered.,2.0,4.0,2.0,Petrol,Manual,140947,km,Grey,Black,Yes,No,Yes,No,Yes,VIC,https://www.grays.com/lot/0001-21050947/motor-vehicles-motor-cycles/2012-mazda-3-neo-bl-manual-sedan,"Dents or marks on body consistent with age and kilometres.
Body/panel damage Front passenger side","Air Conditioning, Bluetooth Capability, CD Player, Central Locking, Cruise Control, Driver Airbag, Electric Windows, MP3 Capability, Power Steering, Crash Test Star Rating 5, Location: 140-152 National Drive, Dandenong South, VIC, 3175, Key No: 733 (349982)",,,,sold,31.0,"$2,900",2025-06-26
2013,Ford,Focus,Ambiente LW II Manual Sedan,Sedan,5.0,2013-05,2013-06,MPB2XXMXB2DB38183,1AX8KC,VIC,02-01-2026 - Registration will only be transferred to the registered bidder who must hold a valid VIC Drivers Licence otherwise vehicle will be sold unregistered.,2.0,4.0,1.6,Petrol,Manual,144498,km,White,Black,Yes,No,Yes,Yes,Yes,VIC,https://www.grays.com/lot/0001-21050948/motor-vehicles-motor-cycles/2013-ford-focus-ambiente-lw-ii-manual-sedan,"Dents or marks on body consistent with age and kilometres.
Engine light ON","Air Conditioning, Bluetooth Capability, CD Player, Central Locking, Cruise Control, Driver Airbag, Electric Windows, Hill Holder System, MP3 Capability, Power Steering, Crash Test Star Rating 5, Location: 140-152 National Drive, Dandenong South, VIC, 3175, Key No: 557E (349984)",,,,sold,14.0,"$1,309",2025-06-26
2009,Mitsubishi,Lancer,VR SPORTBACK CJ CVT Hatchback,Hatchback,5.0,2009-04,2009-06,JMFLTCX4A9U002770,1CM5MW,VIC,25-07-2025 - Registration will only be transferred to the registered bidder who must hold a valid VIC Drivers Licence otherwise vehicle will be sold unregistered.,2.0,4.0,2.0,Petrol,CVT,182497,km,Blue,Black,Yes,No,Yes,Yes,Yes,VIC,https://www.grays.com/lot/0001-21050957/motor-vehicles-motor-cycles/2009-mitsubishi-lancer-vr-sportback-cj-cvt-hatchback,"Dents or marks on body consistent with age and kilometres.
Paint fading Roof","Air Conditioning, CD Player, Central Locking, Climate Control, Cruise Control, Driver Airbag, Electric Windows, MP3 Capability, Power Steering, Crash Test Star Rating 5, Location: 140-152 National Drive, Dandenong South, VIC, 3175, Key No: 539 (350028)",,,,sold,34.0,"$3,500",2025-06-26
2011,Holden,Cruze,SRi V JH Manual Sedan,Sedan,5.0,2011-07,2011-07,6G1PE5E84BL565439,1CJ2AU,VIC,15-10-2025 - Registration will only be transferred to the registered bidder who must hold a valid VIC Drivers Licence otherwise vehicle will be sold unregistered.,2.0,4.0,1.4,Petrol,Manual,223689,km,Black,Black Leather,Yes,Yes,Yes,Yes,Yes,VIC,https://www.grays.com/lot/0001-21050958/motor-vehicles-motor-cycles/2011-holden-cruze-sri-v-jh-manual-sedan,Dents or marks on body consistent with age and kilometres.,"Air Conditioning, CD Player, Central Locking, Cruise Control, Driver Airbag, Electric Windows, Heated Front Seats, Leather Trim, MP3 Capability, Park Distance Control Rear, Power Steering, Crash Test Star Rating 5, Location: 140-152 National Drive, Dandenong South, VIC, 3175, Key No: 359A (350027)",,,,sold,20.0,"$1,709",2025-06-26
2015,Fiat,Freemont,CROSSROAD Automatic 7 Seats People Mover,People Mover,7.0,2015-09,2015-11,3C4PFAGG9GT125355,AGM156,VIC,23-08-2025 - Registration will only be transferred to the registered bidder who must hold a valid VIC Drivers Licence otherwise vehicle will be sold unregistered.,2.0,6.0,3.6,Petrol,Automatic,137211,km,Dark Grey,Black,Yes,No,Yes,Yes,Yes,VIC,https://www.grays.com/lot/0001-21050959/motor-vehicles-motor-cycles/2015-fiat-freemont-crossroad-automatic-7-seats-people-mover,"Dents or marks on body consistent with age and kilometres.
Medium Scuff on Various parts of panel","Air Conditioning, Bluetooth Capability, CD Player, Central Locking, Cruise Control, Driver Airbag, Electric Windows, Heated Front Seats, Hill Holder System, Leather Trim, MP3 Capability, Park Distance Control Rear, Power Steering, Reversing Camera, Roof Rail, Sunroof, Third Row Seat, Location: 140-152 National Drive, Dandenong South, VIC, 3175, Key No: 386 (350029)",,,,sold,58.0,"$5,200",2025-06-26
2012,Dodge,Journey,SXT Automatic 7 Seats People Mover,People Mover,7.0,2012-07,2013-01,3C4PDCJG0CT386815,ZTH272,VIC,29-05-2025 - Registration will only be transferred to the registered bidder who must hold a valid VIC Drivers Licence otherwise vehicle will be sold unregistered.,2.0,6.0,3.6,Petrol,Automatic,147456,km,White,Grey,Yes,Yes,Yes,Yes,Yes,VIC,https://www.grays.com/lot/0001-21050960/motor-vehicles-motor-cycles/2012-dodge-journey-sxt-automatic-7-seats-people-mover,Dents or marks on body consistent with age and kilometres.,"Air Conditioning, Bluetooth Capability, CD Player, Central Locking, Climate Control, Cruise Control, Driver Airbag, Electric Windows, MP3 Capability, Power Steering, Reversing Camera, Roof Rail, Third Row Seat, Location: 140-152 National Drive, Dandenong South, VIC, 3175, Key No: 245 (349808)",,,,sold,55.0,"$4,900",2025-06-26
2012,Volkswagen,Passat,118 TSI 3C Automatic Sedan,Sedan,5.0,2012-05,2012-11,WVWZZZ3CZCP079524,1YS3SC,VIC,24-07-2025 - Registration will only be transferred to the registered bidder who must hold a valid VIC Drivers Licence otherwise vehicle will be sold unregistered.,2.0,4.0,1.8,Petrol,Automatic,322860,km,Silver,Black,Yes,Yes,Yes,Yes,Yes,VIC,https://www.grays.com/lot/0001-21050961/motor-vehicles-motor-cycles/2012-volkswagen-passat-118-tsi-3c-automatic-sedan,"Dents or marks on body consistent with age and kilometres.
Engine light ON
Overheating
Large Scuff on front bumper","Air Conditioning, Bluetooth Capability, CD Player, Central Locking, Climate Control, Cruise Control, Driver Airbag, Electric Windows, Hill Holder System, Leather Trim, MP3 Capability, Park Distance Control Front, Park Distance Control Rear, Power Steering, Location: 140-152 National Drive, Dandenong South, VIC, 3175, Key No: 952 (350037)",,,,sold,1.0,"$4,999",2025-06-26
2008,Toyota,Yaris,YR NCP90R Automatic Hatchback,Hatchback,5.0,2008-08,2008-09,JTDJW923405115847,WQZ282,VIC,10-10-2025 - Registration will only be transferred to the registered bidder who must hold a valid VIC Drivers Licence otherwise vehicle will be sold unregistered.,2.0,4.0,1.3,Petrol,Automatic,262116,km,White,Black,Yes,Yes,Yes,Yes,Yes,VIC,https://www.grays.com/lot/0001-21050964/motor-vehicles-motor-cycles/2008-toyota-yaris-yr-ncp90r-automatic-hatchback,"Dents or marks on body consistent with age and kilometres.
Medium Scratch on Various along panel
Medium Scuff on Various along panel
Back bumper Cracked bumper.
Corrosion visible Left panel","Air Conditioning, Bluetooth Capability, CD Player, Central Locking, Driver Airbag, Electric Windows, MP3 Capability, Power Steering, Crash Test Star Rating 4, Location: 140-152 National Drive, Dandenong South, VIC, 3175, Key No: 280 (347892)",,,,sold,22.0,"$3,800",2025-06-26
2008,Renault,Megane,Dynamique Automatic Convertible,Convertible,5.0,2008-01,2008-09,VF1EM1N0A80649545,No plates,VIC,"Sold Unregistered, Without Plates",0.0,4.0,2.0,Petrol,Automatic,161480,km,Silver,Black,Yes,No,No,No,Yes,VIC,https://www.grays.com/lot/0001-21050967/motor-vehicles-motor-cycles/2008-renault-megane-dynamique-automatic-convertible,"Airbag light ON
Dents or marks on body consistent with age and kilometres.
Medium Scratch on around the car","Air Conditioning, CD Player, Central Locking, Climate Control, Cruise Control, Driver Airbag, Electric Windows, Leather Trim, Park Distance Control Rear, Power Steering, Crash Test Star Rating 5, Location: 140-152 National Drive, Dandenong South, VIC, 3175, Key No: 1133 (349455)",,,,sold,9.0,$809,2025-06-26
2014,Volkswagen,Tiguan,118 TSI 5N Automatic Wagon,Wagon,5.0,2014-04,2014-06,WVGZZZ5NZEW107523,1CA9IL,VIC,10-07-2025 - Registration will only be transferred to the registered bidder who must hold a valid VIC Drivers Licence otherwise vehicle will be sold unregistered.,2.0,4.0,1.4,Petrol,Automatic,195382,km,White,Black Leather,Yes,Yes,Yes,Yes,Yes,VIC,https://www.grays.com/lot/0001-21050968/motor-vehicles-motor-cycles/2014-volkswagen-tiguan-118-tsi-5n-automatic-wagon,"Dents or marks on body consistent with age and kilometres.
Medium Scratch on Back bar","Air Conditioning, Bluetooth Capability, CD Player, Central Locking, Cruise Control, Driver Airbag, Electric Windows, Hill Holder System, MP3 Capability, Power Steering, Roof Rail, Crash Test Star Rating 5, Location: 140-152 National Drive, Dandenong South, VIC, 3175, Key No: 1200 (349890)",,,,sold,60.0,"$4,750",2025-06-26
2011,Ford,Ranger,XL (4x2) PK Turbo Diesel Automatic Dual Cab,Dual Cab Chassis,5.0,2011-04,2011-05,MNAUSFE90BW945762,No plates,VIC,"Sold Unregistered, Without Plates",0.0,4.0,3.0,Diesel,Automatic,189615,km,White,Grey,Yes,No,Yes,Yes,Yes,VIC,https://www.grays.com/lot/0001-21050969/motor-vehicles-motor-cycles/2011-ford-ranger-xl-4x2-pk-turbo-diesel-automatic-dual-cab,"Engine light ON
Seat Torn Rear Seat Drivers Sode
Front Seat Stains Driver &amp; Passenger
Back Seat Stains.
Damaged Sun Damage Staining on Headlights
Medium Scratch on Front Bumper
Medium Scratch on Passenger Side Front Door
Dents or marks on body consistent with age and kilometres.
Transmission issues with 2nd and 3rd gear.
Airbag light ON","Air Conditioning, CD Player, Central Locking, Driver Airbag, Electric Windows, MP3 Capability, Power Steering, Location: 140-152 National Drive, Dandenong South, VIC, 3175, Key No: 783 (348682)",,,,sold,19.0,"$1,810",2025-06-26
2009,Toyota,Corolla,Ascent ZRE152R Automatic Sedan - RWC Issued 10/6/25,Sedan,5.0,2009-06,2009-07,JTNBU52E40J035956,No plates,VIC,"Sold Unregistered, Without Plates",0.0,4.0,1.8,Petrol,Automatic,362089,km,Grey,Black,Yes,No,No,No,Yes,VIC,https://www.grays.com/lot/0001-21050972/motor-vehicles-motor-cycles/2009-toyota-corolla-ascent-zre152r-automatic-sedan-rwc-issued-10-6-25,Medium Scratch on Various parts on panels,"Air Conditioning, Bluetooth Capability, CD Player, Central Locking, Driver Airbag, Electric Windows, MP3 Capability, Park Distance Control Rear, Power Steering, Location: 140-152 National Drive, Dandenong South, VIC, 3175, Key No: 1249 (349918)",,,,sold,1.0,"$6,000",2025-06-26
