year,make,model,variant,body_type,no_of_seats,build_date,compliance_date,vin,rego_no,rego_state,rego_expiry,no_of_plates,no_of_cylinders,engine_capacity,fuel_type,transmission,odometer_reading,odometer_unit,exterior_colour,interior_colour,key,spare_key,owners_manual,service_history,engine_turns_over,location,url,general_condition,features_list,bids,price,time_remaining_or_date_sold,status
2009,Toyota,Hilux,SR (4x4) KUN26R Turbo Diesel Manual Dual Cab,Dual Cab,5.0,10-2009,11-2009,MR0FZ22G501027843,No plates,VIC,"Sold Unregistered, Without Plates",,4.0,3.0,Diesel,Manual,287263,km,White,Grey,Yes,No,Yes,No,Yes,VIC,https://www.grays.com/lot/0001-21050955/motor-vehicles-motor-cycles/2009-toyota-hilux-sr-4x4-kun26r-turbo-diesel-manual-dual-cab,"Airbag light ON
Large Dent on Various locations
Corrosion visible Various locations
Controls Broken Air conditioning controls broken","Air conditioning, Bluetooth Capability, Bull Bar, CD Player, Central Locking, Driver Airbag, Electric Windows, MP3 Capability, Power Steering, Crash Test Star Rating 4, Location: 591 Boundary rd Truganina Vic 3029, Key No: 75B",25.0,,,referred
2007,Toyota,Hilux,SR (4x4) KUN26R Turbo Diesel Manual Dual Cab,Dual Cab,5.0,01-2007,02-2007,MR0FZ22G601015023,No Plates,VIC,"Sold Unregistered, Without Plates",,4.0,3.0,Diesel,Manual,253971,km,White,White,Yes,No,Yes,No,Yes,VIC,https://www.grays.com/lot/0001-21050956/motor-vehicles-motor-cycles/2007-toyota-hilux-sr-4x4-kun26r-turbo-diesel-manual-dual-cab,"Large Dent on Large dents all over the vehicle
Corrosion visible Tray and chassis
Seat Torn All seats torn or missing chunks","Air Conditioning, Bull Bar, CD Player, Central Locking, Driver Airbag, Electric Windows, MP3 Capability, Power Steering, Crash Test Star Rating 4, Location: 157 Dohertys Road, Laverton North, VIC, 3026, Key No: 84B",53.0,,,referred
2015,Mitsubishi,Triton,4WD Manual - 5 Speed Dual Cab Ute,Dual Cab Ute,,,03/2015,MMAJNKB40FD026958,1XD9FN,VIC,"Sold Unregistered, Without Plates",,4.0,,Turbo Diesel,Manual - 5 Speed,"172,310 Kms",km,White,Grey,Yes,No,Yes,Partial,Yes,,https://www.grays.com/lot/0001-21050962/motor-vehicles-motor-cycles/2015-mitsubishi-triton-4wd-manual-5-speed-dual-cab-ute,"Comment: ABS Brakes, Multi Function Steering Wheel, Side Steps, Tow Bar, Contents not included.
Exterior Damage: Clear coat peel, dents scrapes and scratches.;","Bluetooth Capability, CD Player, Remote Central Locking, Climate Control, Cruise Control, Drivers Airbag, Electric Windows, Roof Racks, Location: 70 Lowan Ave Cardross VIC 3496",42.0,,,referred
2006,Subaru,Liberty,3.0R B4 Automatic Sedan,Sedan,5.0,2006-11,2006-12,JF1BLEKU57G028339,URC404,VIC,26-08-2025 - Registration will only be transferred to the registered bidder who must hold a valid VIC Drivers Licence otherwise vehicle will be sold unregistered.,2.0,6.0,3.0,Petrol,Automatic,288714,km,Silver,Beige Leather,Yes,Yes,Yes,Yes,Yes,VIC,https://www.grays.com/lot/0001-21050966/motor-vehicles-motor-cycles/2006-subaru-liberty-3-0r-b4-automatic-sedan,"Paint peeling Roof
Oil Leak","Air Conditioning, CD Player, Central Locking, Climate Control, Cruise Control, Driver Airbag, Electric Windows, Leather Trim, MP3 Capability, Power Steering, Sunroof, Crash Test Star Rating 5, Location: 140-152 National Drive, Dandenong South, VIC, 3175, Key No: 132 (349222)",0.0,,,referred
2009,TOYOTA,MAJESTA,Import Automatic Sedan,,5.0,2009-04,2023-02,6ZZ9URS2061001371,1XN1KZ,,15-09-2025. Registration will only be transferred to the registered bidder who must hold a valid VIC Drivers Licence otherwise vehicle will be sold unregistered.,2.0,8.0,4.7,Petrol,Automatic,174180,km,White,Black,Yes,Yes,Yes,Yes,Yes,VIC,https://www.grays.com/lot/0001-21050973/motor-vehicles-motor-cycles/2009-toyota-majesta-import-automatic-sedan,"Dents or marks on body consistent with age and kilometres.
Left mirror electric folding function not working.","Central Locking, Driver Airbag, Electric Windows, Leather Trim, Power Steering, Sunroof, Location: 140-152 National Drive, Dandenong South, VIC, 3175, Key No: 1057 (349832)",69.0,,,referred
2010,Ford,Falcon,XR6 FG Automatic Sedan,Sedan,5.0,2010-05,2010-05,6FPAAAJGSWAJ30885,YRH559,VIC,30-01-2026 - Registration will only be transferred to the registered bidder who must hold a valid VIC Drivers Licence otherwise vehicle will be sold unregistered.,2.0,6.0,4.0,Petrol,Automatic,225209,km,Red,Black,Yes,No,No,No,Yes,VIC,https://www.grays.com/lot/0001-21050976/motor-vehicles-motor-cycles/2010-ford-falcon-xr6-fg-automatic-sedan,"Dents or marks on body consistent with age and kilometres.
Engine light ON
Oil Leak
Windscreen Chipped or Cracked.
Paint fading Roof Area","Air Conditioning, CD Player, Central Locking, Climate Control, Cruise Control, Driver Airbag, Electric Windows, MP3 Capability, Power Steering, Crash Test Star Rating 5, Location: 140-152 National Drive, Dandenong South, VIC, 3175, Key No: 1185 (349577)",72.0,,,referred
2019,Subaru,Liberty,2.5i B6 CVT Sedan,Sedan,5.0,2019-04,2019-05,JF1BN9KC2KG030253,No plates,VIC,"Sold Unregistered, Without Plates",0.0,4.0,2.5,Petrol,CVT,131681,km,White,Black,Yes,No,No,No,Yes,VIC,https://www.grays.com/lot/0001-21050992/motor-vehicles-motor-cycles/2019-subaru-liberty-2-5i-b6-cvt-sedan,"Dents or marks on body consistent with age and kilometres.
Airbag light ON","Air Conditioning, Bluetooth Capability, CD Player, Central Locking, Climate Control, Cruise Control, Driver Airbag, Electric Windows, Hill Holder System, MP3 Capability, Power Steering, Reversing Camera, Crash Test Star Rating 5, Location: 140-152 National Drive, Dandenong South, VIC, 3175, Key No: 714C (350051)",132.0,,,referred
2019,Ford,Ranger,2 Raptor 4WD Automatic Dual Cab Ute,Dual Cab Ute,5.0,01/2019,02/2019,MPBUMFE60KX207785,AXP055,VIC,"Sold Unregistered, Without Plates",,5.0,,Turbo Diesel,Automatic,"136,978 Kms",km,Grey,Black,Yes,Yes,Yes,Full,Yes,,https://www.grays.com/lot/0001-21051000/motor-vehicles-motor-cycles/2019-ford-ranger-2-raptor-4wd-automatic-dual-cab-ute,"Comment: Dealer fitted with Chip and Torque that gives an extra 23Km and extra 65NM, ABS Brakes, Multi Function Steering Wheel, Side Steps, Tow Bar, Roll back hard top, Tub Liner, Leather Trim
Exterior Damage: Scratches on bonnet.;","Air Conditioning, Bluetooth Capability, Remote Central Locking, Climate Control, Cruise Control, Drivers Airbag, Electric Windows, Leather Trim, Park Assist, Power Steering, Reverse Camera, Satellite Navigation, Location: 7-9 Nardoo Street, Red Cliffs, VIC 3496",276.0,,,referred
2016,Nissan,Navara,D23 4WD Sports Automatic Dual Cab Ute,Dual Cab Ute,,01/2016,07/2016,MNTCB4D23A0016392,,,"Sold Unregistered, Without Plates",,4.0,,Turbo Diesel,Sports Automatic,"105,487 Kms",km,White,Black,Yes,Yes,Yes,Full,Yes,,https://www.grays.com/lot/0001-21051007/motor-vehicles-motor-cycles/2016-nissan-navara-d23-4wd-sports-automatic-dual-cab-ute,"Full suspension upgrade to tough dog suspension
Fitted with electric brakes and reverse camera
Comment: ABS Brakes, Multi Function Steering Wheel, Side Steps, Tow Bar,
Exterior Damage: Srape to front RHS.;","Air Conditioning, Bluetooth Capability, Remote Central Locking, Cruise Control, Drivers Airbag, Electric Windows, MP3 Capability, Power Steering, Reverse Camera, Location: 7-9 Nardoo Street, Red Cliffs, VIC 3496",209.0,,,referred
2018,Ford,Ranger,2 XL Super Cab RWD Automatic - 6 Speed Extra Cab,Extra Cab,,03/2018,04/2018,,IMB3DJ,VIC,"Sold Unregistered, Without Plates",,5.0,2.2,Turbo Diesel,Automatic - 6 Speed,,km,,,Yes,,Yes,,Yes,,https://www.grays.com/lot/0001-21051008/motor-vehicles-motor-cycles/2018-ford-ranger-2-xl-super-cab-rwd-automatic-6-speed-extra-cab,"Comment: ABS Brakes, Multi Function Steering Wheel, Tow Bar, Dent to bonnet, front fender, small dents scrpes and scratches., Platic missing from interior fuse board. Seats ripped damaged. Extras: Aluminum tray with dropdown sides, head board, tool boxes not included, contents not included. Brake controller. Rear sets removed.","Air Conditioning, Electric Windows, Power Steering, Reverse Camera, Wild track alloy rims,, Aluminium drop down sides, Head board, Brake Controller, Tow Bar, Air bags, Multi function steering wheel, TOOL BOXES NOT INCLUDED, CONTENTS NOT INCLUDED, Location: 5 Allen Drive, Irymple, VIC 3498",31.0,,,referred
